	Query
1076	K14319
1077	K12800
1078	K10281
1079	K16175
1080	K15353
1081	K13791
1082	K15343
1083	K15354
1084	K15347
1085	PF06767.6
1086	PF13461.1
1087	TIGR04308
1088	PF04122.7
1089	PF12211.3
1090	PF07523.7
1091	PF03435.13
1092	K00290
1093	K12445
1094	K02473
1095	6.1.1.11
1096	TIGR00388
1097	PF07996.6
1098	PF08363.5
1099	TIGR03715
1100	TIGR04228
1101	K01430
1102	K14048
1103	TIGR02331
1104	TIGR04264
1105	PF01468.12
1106	K14197
1107	TIGR04226
1108	K14193
1109	TIGR03656
1110	TIGR03658
1111	TIGR03657
1112	TIGR04215
1113	K01197
1114	3.2.1.169
1115	PF05737.7
1116	PF02368.13
1117	K13734
1118	K01727
1119	HYALURONATE-LYASE-RXN
1120	4.2.2.1
1121	PF07581.7
1122	K08643
1123	3.4.24.13
1124	PF12790.2
1125	K11906
1126	TIGR03352
1127	K11918
1128	K12205
1129	PF12822.2
1130	K03202
1131	PF04351.8
1132	PF13981.1
1133	PF13599.1
1134	PF00805.17
1135	PF13979.1
1136	K15352
1137	K12209
1138	PF01814.18
1139	PF13641.1
1140	K00752
1141	PF10111.4
1142	K03669
1143	K00745
1144	K12983
1145	K12988
1146	K12999
1147	2.4.1.305
1148	2.4.1.293
1149	TIGR03965
1150	TIGR03937
1151	TIGR04017
1152	TIGR01556
1153	K13005
1154	2.4.1.303
1155	2.4.1.289
1156	2.4.1.287
1157	PF14305.1
1158	PF01129.13
1159	PF03496.9
1160	PF03545.8
1161	PF09020.5
1162	K11044
1163	3.4.24.83
1164	K15366
1165	K11904
1166	TIGR01646
1167	TIGR03361
1168	K05802
1169	PF03062.14
1170	K03739
1171	PF00852.14
1172	PF13535.1
1173	K01961
1174	K01589
1175	K01921
1176	K01903
1177	K00602
1178	K01945
1179	K05844
1180	PYRUVATE-CARBOXYLASE-RXN
1181	DALADALALIG-RXN
1182	IMPCYCLOHYDROLASE-RXN
1183	6.3.2.4
1184	2.1.3.2
1185	TIGR00514
1186	TIGR01205
1187	TIGR00355
1188	K13713
1189	SAICARSYN-RXN
1190	4.1.1.21
1191	6.3.2.6
1192	2.1.2.2
1193	6.3.4.13
1194	6.3.3.1
1195	K12455
1196	K10011
1197	K12453
1198	TIGR01472
1199	K00773
1200	K00344
1201	K11611
1202	TIGR01289
1203	TIGR01133
1204	PF07883.6
1205	2.7.8.31
1206	K05374
1207	K01071
1208	K04778
1209	PF07859.8
1210	TRIACYLGLYCEROL-LIPASE-RXN
1211	PF00561.15
1212	K06130
1213	K01046
1214	PF11647.3
1215	K08680
1216	K10953
1217	TIGR03695
1218	K01048
1219	K02170
1220	K00641
1221	K01055
1222	K15649
1223	K12242
1224	K05714
1225	K03821
1226	K13129
1227	K13703
1228	K08726
1229	TIGR01249
1230	PF01764.20
1231	K15487
1232	PF00891.13
1233	K09846
1234	PF02485.16
1235	PF13505.1
1236	K06076
1237	K07804
