	0
735	3.4.21.19-RXN
736	3.4.21.19
737	PF04488.10
738	PF12919.2
739	K10930
740	TIGR02523
741	TIGR01707
742	TIGR01711
743	PF04156.9
744	K11547
745	K11558
746	K12289
747	K10400
748	K05363
749	K01875
750	SERINE--TRNA-LIGASE-RXN
751	K09760
752	K07803
753	K12211
754	K02496
755	K12065
756	K10398
757	TIGR00833
758	TIGR00996
759	K12086
760	PF04350.8
761	PF04612.7
762	K02462
763	K09816
764	K05876
765	K05877
766	K10937
767	K02660
768	K10961
769	PF04344.8
770	PF00583.19
771	PF13508.1
772	PF13523.1
773	K09994
774	K00619
775	K03828
776	K00657
777	K02348
778	K03824
779	K15896
780	TIGR03585
781	K03817
782	2.3.1.202
783	PF03895.10
784	PF05662.9
785	K12341
786	K05747
787	PF00975.15
788	K04791
789	2.1.1.163
790	2.3.1.9
791	TIGR00128
792	PF02353.15
793	K03439
794	K15471
795	DHHB-METHYLTRANSFER-RXN
796	2.1.1.222
797	2.1.1.64
798	2.1.1.79
799	TIGR02752
800	TIGR03534
801	TIGR02081
802	TIGR00091
803	2.1.1.201
804	2.1.1.197
805	TIGR00138
806	K03428
807	TIGR01444
808	K15257
809	K12425
810	ISOCHORMAT-RXN
811	3.3.2.1
812	K00575
813	K02661
814	CHER-RXN
815	2.1.1.80
816	PF03865.8
817	K07277
818	K11017
819	K07326
820	PF07161.8
821	K14954
822	PF12937.2
823	PF00646.28
824	PF00092.23
825	K07114
826	PF09013.5
827	K13740
828	K01104
829	K04055
830	PF13946.1
831	TIGR02252
832	PF06306.6
833	PF13704.1
834	K13689
835	PF04888.7
836	K15345
837	K13285
838	K02410
839	TIGR00207
840	PF06013.7
841	PF10824.3
842	K14956
843	TIGR03930
844	K02413
845	PF06511.6
846	K13287
847	TIGR02553
848	TIGR02394
849	PF00293.23
850	K03574
851	K08310
852	K08311
853	K12152
854	K13522
855	K03207
856	TIGR00586
857	PF00126.22
858	K02521
859	K03576
860	K09681
861	K13634
862	K02623
863	K13635
864	K10972
865	PF04353.8
866	PF01531.11
867	PF07922.6
868	UROGENIIISYN-RXN
869	K00785
870	PF00226.26
871	K03686
872	K05516
873	K05801
874	K09512
875	TIGR03835
876	TIGR02349
877	PF05833.6
878	K02952
879	K13792
880	K16042
881	PF05211.7
882	PF02501.12
883	K02460
884	PF11530.3
885	PF04917.7
886	K12810
887	K12286
888	K12277
889	K02673
890	PF05946.7
891	PF08805.6
892	PF03934.8
893	K02237
894	PF10425.4
895	PF00746.16
896	PF02986.9
897	K14194
898	K14192
899	K14201
900	K13733
901	K13732
902	K14195
903	K11238
904	K14196
905	PF13620.1
906	PF13516.1
907	PF12799.2
908	K10130
909	K14319
910	K12800
911	K10281
912	PF04122.7
913	PF12211.3
914	PF09479.5
915	K13730
916	K16175
917	K10641
918	K15353
919	K13791
920	K15343
921	PF13461.1
922	PF06767.6
923	K15354
924	K15347
925	PF03435.13
926	PF13460.1
927	K00290
928	K12445
929	PF07993.7
930	K07748
931	K15789
932	K00091
933	K13013
934	K15912
935	K01711
936	K02473
937	K15894
938	UDPGLUCEPIM-RXN
939	5.1.3.20-RXN
940	4.2.1.135
941	4.2.1.115
942	4.2.1.45
943	TIGR01214
944	TIGR04180
945	TIGR04130
946	TIGR03589
947	PF07996.6
948	PF08363.5
949	TIGR03715
950	TIGR04228
951	TIGR02331
952	K14197
953	TIGR04226
954	K14193
955	TIGR03656
956	TIGR03658
957	TIGR03657
958	TIGR04215
959	K01197
960	3.2.1.169
961	PF05737.7
962	PF02368.13
963	K13734
964	K01727
965	HYALURONATE-LYASE-RXN
966	4.2.2.1
967	K08643
968	3.4.24.13
969	PF12790.2
970	K11906
971	TIGR03352
972	K11918
973	K12205
974	PF00486.23
975	K11521
976	K14983
977	K02488
978	K03415
979	K11630
980	K07707
981	K10920
982	PF12822.2
983	K03202
984	PF04351.8
985	PF13981.1
986	PF13599.1
987	PF00805.17
988	PF13979.1
989	K15352
990	K12209
991	PF01814.18
992	PF13641.1
993	K00752
994	PF10111.4
995	K00745
996	K12983
997	K12988
998	K12999
999	2.4.1.305
1000	2.4.1.293
1001	TIGR03965
1002	TIGR03937
1003	TIGR04017
1004	TIGR01556
1005	K03669
1006	K13005
1007	2.4.1.289
1008	2.4.1.303
1009	2.4.1.287
1010	PF14305.1
1011	PF01129.13
1012	PF03496.9
1013	PF03545.8
1014	PF09020.5
1015	K11044
1016	3.4.24.83
1017	K15366
1018	K11904
1019	TIGR01646
1020	TIGR03361
1021	K05802
1022	PF03062.14
1023	K03739
1024	PF00852.14
1025	PF13535.1
1026	K01961
1027	K01589
1028	K01921
1029	K00602
1030	K01945
1031	K05844
1032	PYRUVATE-CARBOXYLASE-RXN
1033	DALADALALIG-RXN
1034	IMPCYCLOHYDROLASE-RXN
1035	6.3.2.4
1036	2.1.3.2
1037	TIGR00514
1038	TIGR01205
1039	TIGR00355
1040	K13713
1041	SAICARSYN-RXN
1042	4.1.1.21
1043	6.3.2.6
1044	2.1.2.2
1045	6.3.4.13
1046	6.3.3.1
1047	K12455
1048	K10011
1049	K12453
1050	5.1.3.25
1051	TIGR01472
1052	K00773
1053	K03606
1054	TIGR03023
1055	TIGR03025
1056	K00344
1057	K11611
1058	TIGR01289
1059	TIGR01133
1060	2.7.8.31
1061	K01071
1062	K04778
1063	PF07859.8
1064	TRIACYLGLYCEROL-LIPASE-RXN
1065	K01046
1066	PF00561.15
1067	PF11647.3
1068	K08680
1069	K10953
1070	TIGR03695
1071	K01048
1072	K02170
1073	K00641
1074	K01055
1075	K05374
1076	K15649
1077	K12242
1078	K06130
1079	K03821
1080	K05714
1081	K13703
1082	TIGR01249
1083	PF01764.20
1084	K15487
1085	PF00891.13
1086	K02493
1087	K09846
1088	PF02485.16
1089	PF13505.1
1090	K07804
1091	K16078
1092	K06076
1093	PF01389.12
1094	K02557
1095	K16191
1096	K12216
1097	K07275
1098	K10936
1099	PF05736.6
1100	PF07239.6
1101	PF01617.12
1102	PF03797.14
1103	K12678
1104	K12680
1105	K07279
1106	K12681
1107	K12682
1108	K12684
1109	K12683
1110	K12686
1111	TIGR01414
1112	PF04335.8
1113	K03203
1114	K12081
1115	K12095
1116	PF06188.7
1117	K01879
1118	K01347
1119	3.4.21.72-RXN
1120	3.4.21.72
1121	K12679
1122	TIGR01376
1123	K12687
1124	K12685
1125	K12688
1126	PF12334.3
1127	PF02691.10
1128	PF13144.1
1129	K02386
1130	TIGR03170
1131	TIGR03177
1132	PF04886.7
1133	K16087
1134	TIGR01785
1135	TIGR01776
1136	K16152
1137	PF13676.1
1138	PF04101.11
1139	PF13528.1
1140	K02563
1141	2.4.1.227
1142	3.6.1.57
1143	TIGR03590
1144	K11055
1145	PF03433.8
1146	K15344
1147	PF02205.15
1148	PF09424.5
